,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
333,Lawrence G. Wallace,1999,0,0,0,0,0,0,0,0.0,0.0
334,Paul A. Strandness,1999,0,0,0,0,0,0,0,0.0,0.0
335,Christine A. Hogan,1999,0,0,0,0,0,0,0,0.0,0.0
336,Ronald J. Mann,1999,0,0,0,0,0,0,0,0.0,0.0
337,"John W. Nields, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
338,Michael R. Dreeben,1999,0,0,0,0,0,0,0,0.0,0.0
339,Barbara D. Underwood,1999,0,0,0,0,0,0,0,0.0,0.0
340,Kenneth Falk,1999,0,0,0,0,0,0,0,0.0,0.0
341,Jon Laramore,1999,0,0,0,0,0,0,0,0.0,0.0
342,Carter G. Phillips,1999,0,0,0,0,0,0,0,0.0,0.0
343,Kent L. Jones,1999,0,0,0,0,0,0,0,0.0,0.0
344,Gregory S. Coleman,1999,0,0,0,0,0,0,0,0.0,0.0
345,Patricia A. Millett,1999,0,0,0,0,0,0,0,0.0,0.0
346,Carter G. Phillips,1999,0,0,0,0,0,0,0,0.0,0.0
347,Thomas C. Goldstein,1999,0,0,0,0,0,0,0,0.0,0.0
348,Robert Radasevich,1999,0,0,0,0,0,0,0,0.0,0.0
349,A. Benjamin Goldgar,1999,0,0,0,0,0,0,0,0.0,0.0
350,Lawrence G. Wallace,1999,0,0,0,0,0,0,0,0.0,0.0
351,"Frank Cicero, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
352,Daniel A. Small,1999,0,0,0,0,0,0,0,0.0,0.0
353,Thomas F. Gede,1999,0,0,0,0,0,0,0,0.0,0.0
354,George Waters,1999,0,0,0,0,0,0,0,0.0,0.0
355,Robert H. Brownlee,1999,0,0,0,0,0,0,0,0.0,0.0
356,"G. Eric Brunstad, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
